DATE,05/26/24 14:04:54,CO,100.00,SO2,20.00,NO2,15.00,O3,16.00,CO2,0.00,T,0.00,RH,0.00,PM1.0,1.40,PM2.5,1.80,PM10,1.80,WD,0.00,WS,0.00,BATT,4.01,CHRG,0.00,RUN,0.00,SD,1,RAW,0,0,0,0,0,0,0,0,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,923758416Z
DATE,05/26/24 14:11:12,CO,8200.56,SO2,980.23,NO2,46.65,O3,307.42,CO2,558.00,T,30.60,RH,43.60,PM1.0,8.80,PM2.5,12.93,PM10,14.24,WD,0.00,WS,0.00,BATT,4.01,CHRG,955.32,RUN,136.93,SD,1,RAW,-2627,3867,25,1241,-37,-66,26,-219,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,2955245545Z
DATE,05/26/24 14:11:22,CO,23662.32,SO2,1399.20,NO2,145.25,O3,422.97,CO2,551.25,T,30.60,RH,43.53,PM1.0,11.19,PM2.5,16.30,PM10,17.77,WD,0.00,WS,0.00,BATT,4.01,CHRG,955.32,RUN,140.16,SD,1,RAW,-4320,6296,50,1950,-63,-117,45,-380,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,3713408366Z
DATE,05/26/24 14:11:32,CO,24373.58,SO2,1384.21,NO2,162.64,O3,449.16,CO2,556.81,T,30.60,RH,43.51,PM1.0,13.05,PM2.5,18.76,PM10,20.65,WD,0.00,WS,0.00,BATT,4.01,CHRG,955.32,RUN,136.93,SD,1,RAW,-4467,6428,49,1928,-67,-131,47,-413,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,317343393Z
DATE,05/26/24 14:11:42,CO,23245.20,SO2,1277.14,NO2,168.85,O3,448.96,CO2,547.95,T,30.60,RH,43.50,PM1.0,13.67,PM2.5,19.47,PM10,22.55,WD,0.00,WS,0.00,BATT,4.02,CHRG,953.71,RUN,93.44,SD,1,RAW,-4275,6072,49,1784,-67,-136,48,-416,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,2961047561Z
DATE,05/26/24 14:11:52,CO,21858.89,SO2,1174.46,NO2,166.24,O3,447.20,CO2,546.74,T,30.60,RH,43.55,PM1.0,13.68,PM2.5,20.27,PM10,23.13,WD,0.00,WS,0.00,BATT,4.02,CHRG,955.32,RUN,136.93,SD,1,RAW,-4031,5666,44,1637,-65,-133,50,-409,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,2197963871Z
DATE,05/26/24 14:12:02,CO,20579.97,SO2,1084.89,NO2,148.78,O3,441.55,CO2,551.18,T,30.60,RH,43.54,PM1.0,13.15,PM2.5,23.24,PM10,25.57,WD,0.00,WS,0.00,BATT,4.02,CHRG,955.32,RUN,132.10,SD,1,RAW,-3804,5297,41,1511,-62,-119,48,-392,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,742556336Z
DATE,05/26/24 14:12:30,CO,18425.06,SO2,946.54,NO2,156.80,O3,410.88,CO2,556.27,T,30.60,RH,43.37,PM1.0,12.94,PM2.5,23.95,PM10,25.77,WD,0.00,WS,0.00,BATT,4.00,CHRG,960.16,RUN,293.20,SD,1,RAW,-3420,4683,43,1330,-58,-124,44,-382,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,111459375Z
DATE,05/26/24 14:12:36,CO,17680.33,SO2,901.23,NO2,159.05,O3,399.60,CO2,553.64,T,30.60,RH,43.33,PM1.0,13.18,PM2.5,21.80,PM10,24.70,WD,0.00,WS,0.00,BATT,4.00,CHRG,961.77,RUN,286.76,SD,1,RAW,-3286,4476,42,1266,-56,-125,43,-376,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,324926282Z
DATE,05/26/24 14:12:47,CO,16644.23,SO2,844.70,NO2,151.14,O3,389.22,CO2,546.16,T,30.60,RH,43.38,PM1.0,13.09,PM2.5,20.15,PM10,22.76,WD,0.00,WS,0.00,BATT,4.02,CHRG,956.93,RUN,165.93,SD,1,RAW,-3099,4186,40,1186,-54,-118,42,-362,STAT,6b,0,f0,LAT,0.00000,LON,0.00000,CRC,4183638999Z
